Month,Year,Quarter,Month_Name,Month_Index,User_Month_Key,Department_Month_Key,User_ID,Employee_Label,Department,Business_Unit,Role_Level,Location,Hire_Date,Training_Status,AI_Training_Date,AI_Champion,License_Tier,Active_Flag,New_User_Flag,Retained_User_Flag,Reactivated_User_Flag,Churned_User_Flag,First_Active_Month,Adoption_Stage,AI_Maturity_Score,User_Month_Messages,User_Month_Cost_USD,User_Month_Hours_Saved,User_Month_Value_USD,User_Month_ROI_Pct,Activity_ID,Tool,Tool_Category,Use_Case,Channel,Sessions,Messages,Days_Active,Active_Minutes,Input_Tokens,Output_Tokens,Usage_Cost_USD,License_Cost_USD,Total_Cost_USD,Estimated_Hours_Saved,Estimated_Value_USD,ROI_Pct,Satisfaction_Score,Successful_Response_Pct,Policy_Compliance_Pct,Sensitive_Data_Incidents,Escalations,Automation_Runs,Avg_Response_Time_Sec,Department_Headcount,Department_Active_Users,Department_Adoption_Rate_Pct,Adoption_Target_Pct,Adoption_Target_Gap_Pct,Active_User_Target,Message_Target,Department_Month_Messages,Department_Month_Cost_USD,Monthly_Budget_USD,Budget_Variance_USD,Department_Month_Hours_Saved,Hours_Saved_Target,Satisfaction_Target
2025-01-01,2025,Q1,January,1,U0001_2025-01,Sales_2025-01,U0001,Employee 001,Sales,Commercial,Director,Santiago,2023-09-01,Not Trained,2025-06-01,No,Premium,0,0,0,0,0,,Not Active,0,0,0,0,0,0,I000001,No Activity,No Activity,No Activity,No Activity,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,,64,7,10.9,25.6,-14.7,16,1488,249,210.0,1488.0,1278.0,16.2,119.0,4.0
2025-01-01,2025,Q1,January,1,U0002_2025-01,Sales_2025-01,U0002,Employee 002,Sales,Commercial,Individual Contributor,Santiago,2018-05-05,Not Trained,2025-06-01,Yes,Standard,0,0,0,0,0,,Not Active,0,0,0,0,0,0,I000002,No Activity,No Activity,No Activity,No Activity,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,,64,7,10.9,25.6,-14.7,16,1488,249,210.0,1488.0,1278.0,16.2,119.0,4.0
2025-01-01,2025,Q1,January,1,U0003_2025-01,Sales_2025-01,U0003,Employee 003,Sales,Commercial,Manager,Concepción,2021-06-20,Not Trained,2025-04-01,No,Standard,1,1,0,0,0,2025-01-01,Explorer,27,20,30.0,1.97,78.21,160.7,A000003,Microsoft Copilot,Enterprise Assistant,Forecasting,Teams,2,20,1,61,15855,7186,0.0,30,30.0,1.97,78.21,160.7,3.2,90.2,94.7,0,1,0,3.14,64,7,10.9,25.6,-14.7,16,1488,249,210.0,1488.0,1278.0,16.2,119.0,4.0
2025-01-01,2025,Q1,January,1,U0004_2025-01,Sales_2025-01,U0004,Employee 004,Sales,Commercial,Individual Contributor,Concepción,2017-03-05,Not Trained,2025-04-01,No,Standard,0,0,0,0,0,,Not Active,0,0,0,0,0,0,I000004,No Activity,No Activity,No Activity,No Activity,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,,64,7,10.9,25.6,-14.7,16,1488,249,210.0,1488.0,1278.0,16.2,119.0,4.0
2025-01-01,2025,Q1,January,1,U0005_2025-01,Sales_2025-01,U0005,Employee 005,Sales,Commercial,Director,Remote,2023-05-22,Not Trained,2025-06-01,No,Standard,0,0,0,0,0,,Not Active,0,0,0,0,0,0,I000005,No Activity,No Activity,No Activity,No Activity,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,,64,7,10.9,25.6,-14.7,16,1488,249,210.0,1488.0,1278.0,16.2,119.0,4.0
2025-01-01,2025,Q1,January,1,U0006_2025-01,Sales_2025-01,U0006,Employee 006,Sales,Commercial,Manager,Remote,2022-11-09,Not Trained,2025-03-01,No,Standard,0,0,0,0,0,,Not Active,0,0,0,0,0,0,I000006,No Activity,No Activity,No Activity,No Activity,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,,64,7,10.9,25.6,-14.7,16,1488,249,210.0,1488.0,1278.0,16.2,119.0,4.0
2025-01-01,2025,Q1,January,1,U0007_2025-01,Sales_2025-01,U0007,Employee 007,Sales,Commercial,Individual Contributor,Valparaíso,2025-10-23,Not Trained,2025-06-01,No,Premium,0,0,0,0,0,,Not Active,0,0,0,0,0,0,I000007,No Activity,No Activity,No Activity,No Activity,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,,64,7,10.9,25.6,-14.7,16,1488,249,210.0,1488.0,1278.0,16.2,119.0,4.0
2025-01-01,2025,Q1,January,1,U0008_2025-01,Sales_2025-01,U0008,Employee 008,Sales,Commercial,Individual Contributor,Santiago,2018-12-12,Not Trained,,No,Premium,0,0,0,0,0,,Not Active,0,0,0,0,0,0,I000008,No Activity,No Activity,No Activity,No Activity,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,,64,7,10.9,25.6,-14.7,16,1488,249,210.0,1488.0,1278.0,16.2,119.0,4.0
2025-01-01,2025,Q1,January,1,U0009_2025-01,Sales_2025-01,U0009,Employee 009,Sales,Commercial,Individual Contributor,Santiago,2023-03-16,Not Trained,2025-05-01,Yes,Standard,0,0,0,0,0,,Not Active,0,0,0,0,0,0,I000009,No Activity,No Activity,No Activity,No Activity,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,,64,7,10.9,25.6,-14.7,16,1488,249,210.0,1488.0,1278.0,16.2,119.0,4.0
2025-01-01,2025,Q1,January,1,U0010_2025-01,Sales_2025-01,U0010,Employee 010,Sales,Commercial,Individual Contributor,Concepción,2023-07-10,Trained,2025-01-01,No,Premium,0,0,0,0,0,,Not Active,0,0,0,0,0,0,I000010,No Activity,No Activity,No Activity,No Activity,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,,64,7,10.9,25.6,-14.7,16,1488,249,210.0,1488.0,1278.0,16.2,119.0,4.0
